title,company,stipend,duration,location,skills,link
N/A,Plumo,"₹ 6,000 - 10,000 /month",N/A,Remote,N/A,N/A
N/A,Hamsi Marketing Private Limited,"₹ 1,000 /month",N/A,Remote,N/A,N/A
N/A,ConsultBae,"₹ 8,000 - 10,000 /month",N/A,Remote,N/A,N/A
N/A,OyeLabs,"₹ 5,000 - 10,000 /month",N/A,Remote,N/A,N/A
N/A,Potens IT Services & Consultancy,"₹ 15,000 - 20,000 /month",N/A,Remote,N/A,N/A
N/A,ConsultBae,"₹ 8,000 - 10,000 /month",N/A,Remote,N/A,N/A
N/A,Arakoo,"₹ 25,000 - 35,000 /month",N/A,Remote,N/A,N/A
N/A,Maxgen Technologies Private Limited,"₹ 5,000 - 12,000 /month",N/A,Remote,N/A,N/A
N/A,Reducate.ai,"₹ 2,000 /month",N/A,Remote,N/A,N/A
N/A,She Can Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,Microsoft,Competitive stipend,N/A,Remote,N/A,N/A
N/A,House Of Couton Private Limited,"₹ 4,000 - 5,000 /month",N/A,Remote,N/A,N/A
N/A,BOOPATHI R,"₹ 1,000 - 5,000 /month",N/A,Remote,N/A,N/A
N/A,CareerNest,"₹ 10,000 - 25,000 /month",N/A,Remote,N/A,N/A
N/A,TwiLearn EduTech Private Limited,"₹ 10,000 - 20,000 /month",N/A,Remote,N/A,N/A
N/A,TwiLearn EduTech Private Limited,"₹ 10,000 - 22,000 /month",N/A,Remote,N/A,N/A
N/A,Maxgen Technologies Private Limited,"₹ 5,000 - 12,000 /month",N/A,Remote,N/A,N/A
N/A,Cloud Back,"₹ 10,000 - 20,000 /month",N/A,Remote,N/A,N/A
N/A,Cloud Back,"₹ 15,000 - 20,000 /month",N/A,Remote,N/A,N/A
N/A,Maxgen Technologies Private Limited,"₹ 5,000 - 12,000 /month",N/A,Remote,N/A,N/A
N/A,IgnitionAI,"₹ 1,000 /month",N/A,Remote,N/A,N/A
N/A,Queens Of Change Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,NayePankh Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,Grivaa Consultancy Services,"₹ 6,000 - 12,500 /month",N/A,Remote,N/A,N/A
N/A,Basti Ki Pathshala Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,She Can Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,NayePankh Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,NayePankh Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,ZIVENTRA,"₹ 7,000 /month",N/A,Remote,N/A,N/A
N/A,Skillsbucket,"₹ 6,000 - 10,000 /month",N/A,Remote,N/A,N/A
N/A,InstaCAD Solutions India Private Limited,"₹ 4,999 - 5,000 /month",N/A,Remote,N/A,N/A
N/A,Dharatal AI Systems Pvt Ltd,"₹ 15,000 - 20,000 /month",N/A,Remote,N/A,N/A
N/A,Requin Solutions Private Limited,"₹ 10,000 /month",N/A,Remote,N/A,N/A
N/A,Basti Ki Pathshala Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,Queens Of Change Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,Mirai School Of Technology,Unpaid,N/A,Remote,N/A,N/A
N/A,Fitbae Healthcare Private Limited,"₹ 6,500 - 7,500 /month",N/A,Remote,N/A,N/A
N/A,Queens Of Change Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,Scholarthi,"₹ 4,000 - 5,000 /month",N/A,Remote,N/A,N/A
N/A,CogknowEdge Solutions,"₹ 10,000 - 15,000 /month",N/A,Remote,N/A,N/A
N/A,Neurasys,"₹ 7,500 - 15,000 /month",N/A,Remote,N/A,N/A
N/A,Neurasys,"₹ 7,500 - 15,000 /month",N/A,Remote,N/A,N/A
N/A,Neurasys,"₹ 10,000 - 22,000 /month",N/A,Remote,N/A,N/A
N/A,Maxgen Technologies Private Limited,"₹ 5,000 - 12,000 /month",N/A,Remote,N/A,N/A
N/A,Hooman Digital LLP,"₹ 10,000 - 12,000 /month",N/A,Remote,N/A,N/A
N/A,Basti Ki Pathshala Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,NayePankh Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,Enlight Lab,"₹ 5,000 - 10,000 /month",N/A,Remote,N/A,N/A
N/A,StoryYell Private Limited,"₹ 32,000 /month",N/A,Remote,N/A,N/A
N/A,She Can Foundation,Unpaid,N/A,Remote,N/A,N/A
N/A,Neurasys,"₹ 10,000 - 22,000 /month",N/A,Remote,N/A,N/A
